Category,States/UT's,Districts,No. of CSCs,Female,Male,Total1,General,OBC,SC,ST
Advice Enabled,Jharkhand,Simdega,92,4393,6980,11373,764,2222,1561,6826
Advice Enabled,Jharkhand,West Singhbhum,186,890,1620,2510,210,975,120,1205
Advice Enabled,Karnataka,Bagalkot,198,17667,22936,40603,14377,17485,7114,1627
Advice Enabled,Karnataka,Belagavi (Belgaum),507,8208,9280,17488,5198,7287,3914,1089
Advice Enabled,Karnataka,Bellary,100,5705,5858,11563,2736,3850,4034,943
Advice Enabled,Karnataka,Bengaluru Rural,106,3204,1852,5056,1989,1439,1476,152
Advice Enabled,Karnataka,Bengaluru Urban,94,2213,1314,3527,892,781,1763,91
Advice Enabled,Karnataka,Bidar,185,1902,2082,3984,1194,889,1469,432
Advice Enabled,Karnataka,Bijapur ( Vijayapura),213,2437,2383,4820,2315,1759,683,63
Advice Enabled,Karnataka,Chamarajanagar,130,4708,7217,11925,3285,3839,3698,1103
Advice Enabled,Karnataka,Chik Ballapur,157,1154,784,1938,692,285,769,192
Advice Enabled,Karnataka,Chikmagalur,227,9017,5954,14971,5971,5337,3048,615
Advice Enabled,Karnataka,Chitradurga,189,14288,12709,26997,12830,3648,7189,3330
Advice Enabled,Karnataka,Dakshin Kannad,230,1925,1774,3699,624,1705,1177,193
Advice Enabled,Karnataka,Davangere,196,5984,5755,11739,5152,3362,2029,1196
Advice Enabled,Karnataka,Dharwad,145,11422,8247,19669,9981,7579,1256,853
Advice Enabled,Karnataka,Gadag,122,2540,2777,5317,2509,2057,416,335
Advice Enabled,Karnataka,Hassan,267,10272,8364,18636,7874,7796,2641,325
Advice Enabled,Karnataka,Haveri,224,3006,3016,6022,2604,2550,550,318
Advice Enabled,Karnataka,Kalaburagi (Gulbarga),264,758,3060,3818,1003,819,1816,180
Advice Enabled,Karnataka,Kodagu,104,1520,3892,5412,1055,1241,2756,360
Advice Enabled,Karnataka,Kolar,156,358,579,937,368,195,304,70
Advice Enabled,Karnataka,Koppal,153,10426,10800,21226,7178,6847,5410,1791
Advice Enabled,Karnataka,Mandya,233,5467,3180,8647,3467,4229,726,225
Advice Enabled,Karnataka,Mysuru,266,7996,7974,15970,4566,6731,3192,1481
Advice Enabled,Karnataka,Raichur,179,7927,15662,23589,5059,10513,5138,2879
Advice Enabled,Karnataka,Ramanagara,127,3474,1889,5363,2991,1680,656,36
Advice Enabled,Karnataka,Shimoga,271,1941,1820,3761,1418,1844,337,162
Advice Enabled,Karnataka,Tumkur,330,12618,10263,22881,9777,6246,6187,671
Advice Enabled,Karnataka,Udupi,157,5883,5730,11613,2170,4223,4887,333
Advice Enabled,Karnataka,Uttara Kannada,231,3882,2634,6516,1226,4730,491,69
Advice Enabled,Karnataka,Vijayanagar,137,3930,5881,9811,4809,3275,967,760
Advice Enabled,Karnataka,Yadgir,123,1404,11011,12415,4096,1893,5662,764
Advice Enabled,Kerala,Alappuzha,72,1732,1547,3279,955,781,1388,155
Advice Enabled,Kerala,Ernakulam,82,1408,792,2200,498,971,647,84
Advice Enabled,Kerala,Idukki,52,1335,893,2228,465,657,1026,80
Advice Enabled,Kerala,Kannur,71,1221,508,1729,358,719,604,48
Advice Enabled,Kerala,Kasargod,38,3173,869,4042,531,1945,1396,170
Advice Enabled,Kerala,Kollam,68,730,284,1014,170,337,480,27
Advice Enabled,Kerala,Kottayam,71,298,285,583,276,190,91,26
Advice Enabled,Kerala,Kozhikode,70,483,569,1052,289,626,121,16
Advice Enabled,Kerala,Malappuram,94,643,936,1579,270,1132,159,18
Advice Enabled,Kerala,Palakkad,88,429,473,902,198,578,110,16
Advice Enabled,Kerala,Pathanamthitta,53,173,179,352,148,120,74,10
Advice Enabled,Kerala,Thiruvananthapuram,73,2178,3575,5753,510,1265,3828,150
Advice Enabled,Kerala,Thrissur,86,1917,2951,4868,1884,963,1914,107
Advice Enabled,Kerala,Wayanad,23,2826,3552,6378,1736,2276,1968,398
Advice Enabled,Ladakh,Kargil,97,779,1461,2240,587,264,220,1169
Advice Enabled,Ladakh,Leh Ladakh,95,391,529,920,212,232,199,277
Advice Enabled,Lakshadweep,Lakshadweep District,10,1224,1255,2479,336,504,1634,5
Advice Enabled,Madhya Pradesh,Agar Malwa,230,25056,17046,42102,8418,14768,13086,5830
Advice Enabled,Madhya Pradesh,Alirajpur,288,20922,16275,37197,5998,12791,11649,6759
Advice Enabled,Madhya Pradesh,Anuppur,277,15660,10236,25896,2813,8721,8315,6047
Advice Enabled,Madhya Pradesh,Ashoknagar,328,11918,8608,20526,2346,7820,7431,2929
Advice Enabled,Madhya Pradesh,Balaghat,688,9280,13058,22338,4005,6765,9071,2497
Advice Enabled,Madhya Pradesh,Barwani,409,9068,17032,26100,5303,7686,10973,2138
Advice Enabled,Madhya Pradesh,Betul,554,3044,4984,8028,561,3972,2015,1480
Advice Enabled,Madhya Pradesh,Bhind,439,1508,2769,4277,795,2258,1002,222
Advice Enabled,Madhya Pradesh,Bhopal,208,3383,3889,7272,557,1535,1252,3928
Advice Enabled,Madhya Pradesh,Burhanpur,167,440,534,974,98,413,311,152
Advice Enabled,Madhya Pradesh,Chhatarpur,558,18058,80486,98544,11079,35936,46065,5464
Advice Enabled,Madhya Pradesh,Chhindwara,786,5837,12932,18769,911,11514,3101,3243
Advice Enabled,Madhya Pradesh,Damoh,461,15290,64578,79868,6275,34446,26574,12573
Advice Enabled,Madhya Pradesh,Datia,290,11767,14285,26052,1040,6380,13721,4911
Advice Enabled,Madhya Pradesh,Dewas,495,3969,8174,12143,1669,4559,5034,881
Advice Enabled,Madhya Pradesh,Dhar,760,8414,12799,21213,3117,3584,12912,1600
Advice Enabled,Madhya Pradesh,Dindori,364,7161,9345,16506,1448,5020,5121,4917
Advice Enabled,Madhya Pradesh,Guna,421,12516,26496,39012,3685,12515,20611,2201
Advice Enabled,Madhya Pradesh,Gwalior,258,4175,5674,9849,997,3871,3733,1248
Advice Enabled,Madhya Pradesh,Harda,210,974,7206,8180,3658,1413,2335,774
Advice Enabled,Madhya Pradesh,Hoshangabad,420,1888,3049,4937,675,1959,867,1436
Advice Enabled,Madhya Pradesh,Indore,323,655,1618,2273,481,1080,589,123
Advice Enabled,Madhya Pradesh,Jabalpur,522,2608,9235,11843,219,1201,8584,1839
Advice Enabled,Madhya Pradesh,Jhabua,375,779,1575,2354,311,278,1434,331
Advice Enabled,Madhya Pradesh,Katni,407,1623,3813,5436,734,2222,1323,1157
Advice Enabled,Madhya Pradesh,Khandwa (East Nimar),419,2840,18552,21392,1860,6783,5083,7666
Advice Enabled,Madhya Pradesh,Khargone,590,6016,7136,13152,272,949,11236,695
Advice Enabled,Madhya Pradesh,Mandla,487,1189,4145,5334,233,2284,1206,1611
Advice Enabled,Madhya Pradesh,Mandsaur,449,1628,5619,7247,1171,2545,3085,446
Advice Enabled,Madhya Pradesh,Morena,478,4783,2875,7658,907,4585,1800,366
Advice Enabled,Madhya Pradesh,Narsinghpur,447,978,2218,3196,230,903,1898,165
Advice Enabled,Madhya Pradesh,Neemuch,237,740,1504,2244,250,1155,704,135
Advice Enabled,Madhya Pradesh,Niwari,136,552,1863,2415,186,1628,503,98
Advice Enabled,Madhya Pradesh,Panna,386,9608,24241,33849,2473,7574,20710,3092
Advice Enabled,Madhya Pradesh,Raisen,499,11702,13527,25229,659,13545,3976,7049
Advice Enabled,Madhya Pradesh,Rajgarh,622,8163,18071,26234,2633,12887,8159,2555
Advice Enabled,Madhya Pradesh,Ratlam,418,955,4078,5033,1748,1409,1391,485
Advice Enabled,Madhya Pradesh,Rewa,820,12378,28041,40419,9481,10464,17680,2794
Advice Enabled,Madhya Pradesh,Sagar,743,5689,17682,23371,2018,13674,5806,1873
Advice Enabled,Madhya Pradesh,Satna,694,16110,35258,51368,11524,19758,17328,2758
Advice Enabled,Madhya Pradesh,Sehore,515,9131,7583,16714,983,969,6448,8314
Advice Enabled,Madhya Pradesh,Seoni,635,4887,14631,19518,1745,10328,2880,4565
Advice Enabled,Madhya Pradesh,Shahdol,390,2121,4653,6774,797,1439,2215,2323
Advice Enabled,Madhya Pradesh,Shajapur,338,1412,1877,3289,486,1655,971,177
Advice Enabled,Madhya Pradesh,Sheopur,230,1180,2092,3272,158,874,1329,911
Advice Enabled,Madhya Pradesh,Shivpuri,588,2888,6992,9880,523,2630,5568,1159
Advice Enabled,Madhya Pradesh,Sidhi,400,5764,8935,14699,1953,4835,5105,2806
Advice Enabled,Madhya Pradesh,Singrauli,310,7698,66928,74626,13191,41198,9608,10629
Advice Enabled,Madhya Pradesh,Tikamgarh,324,3862,15703,19565,882,11513,5823,1347
Advice Enabled,Madhya Pradesh,Ujjain,609,6492,9122,15614,1005,4673,1526,8410
Advice Enabled,Madhya Pradesh,Umaria,232,3488,3361,6849,720,2057,800,3272
Advice Enabled,Madhya Pradesh,Vidisha,573,24484,45417,69901,4760,20499,20036,24606
Advice Enabled,Madhya Pradesh,Mauganj,1,25,45,70,2,41,21,6
Advice Enabled,Madhya Pradesh,Maihar,1,0,0,0,0,0,0,0
Advice Enabled,Madhya Pradesh,Pandhurna,1,0,0,0,0,0,0,0
Advice Enabled,Maharashtra,Ahemadnagar,1319,15516,20587,36103,7792,6934,16839,4538
Advice Enabled,Maharashtra,Akola,534,13136,13291,26427,5000,4934,13891,2602
Advice Enabled,Maharashtra,Amravati,841,10502,8411,18913,2630,4377,8865,3041
Advice Enabled,Maharashtra,Aurangabad (Maharashtra),867,13731,16496,30227,13889,5297,8388,2653
Advice Enabled,Maharashtra,Beed,1030,8604,31005,39609,9818,6791,18697,4303
Advice Enabled,Maharashtra,Bhandara,540,8892,12175,21067,2233,6766,9471,2597
Advice Enabled,Maharashtra,Buldana,872,984,2990,3974,588,809,1026,1551
Advice Enabled,Maharashtra,Chandrapur,828,3625,6840,10465,1874,1469,3786,3336
Advice Enabled,Maharashtra,Dhule,548,4604,6298,10902,674,656,2294,7278
Advice Enabled,Maharashtra,Gadchiroli,459,13534,30146,43680,4468,8000,15078,16134
Advice Enabled,Maharashtra,Gondia,547,13344,38060,51404,10526,13089,17895,9894
Advice Enabled,Maharashtra,Hingoli,563,1163,4257,5420,2446,906,1281,787
Advice Enabled,Maharashtra,Jalgaon,1155,3251,4459,7710,1870,1237,3374,1229
Advice Enabled,Maharashtra,Jalna,779,2651,9906,12557,2960,1319,5987,2291
Advice Enabled,Maharashtra,Kolhapur,1027,15681,12859,28540,12057,4663,8461,3359
Advice Enabled,Maharashtra,Latur,785,847,1171,2018,657,327,487,547
Advice Enabled,Maharashtra,Mumbai,157,850,497,1347,221,335,761,30
Advice Enabled,Maharashtra,Mumbai Suburban,251,166,213,379,113,66,200,0
Advice Enabled,Maharashtra,Nagpur,769,1940,4965,6905,1732,1689,2634,850
Advice Enabled,Maharashtra,Nanded,1144,2732,3676,6408,1543,1304,2349,1212
Advice Enabled,Maharashtra,Nandurbar,600,12423,25463,37886,2521,3584,8354,23427
Advice Enabled,Maharashtra,Nashik,1287,15813,19095,34908,1809,3007,13424,16668
Advice Enabled,Maharashtra,Osmanabad,622,15921,52243,68164,18793,12782,29253,7336
Advice Enabled,Maharashtra,Palghar,472,2838,2979,5817,4595,433,705,84
Advice Enabled,Maharashtra,Parbhani,704,1538,20320,21858,2989,1414,12573,4882
Advice Enabled,Maharashtra,Pune,1306,4677,17787,22464,8093,3423,7742,3206
Advice Enabled,Maharashtra,Raigad,809,6444,15534,21978,7374,5407,7702,1495
Advice Enabled,Maharashtra,Ratnagiri,845,2203,12798,15001,4294,1788,7122,1797
Advice Enabled,Maharashtra,Sangli,692,8715,13617,22332,12205,1670,7120,1337
Advice Enabled,Maharashtra,Satara,1419,7361,12106,19467,13348,1855,3612,652
Advice Enabled,Maharashtra,Sindhudurg,431,501,776,1277,194,250,641,192
Advice Enabled,Maharashtra,Solapur,1029,14799,16029,30828,15088,10811,4449,480
Advice Enabled,Maharashtra,Thane,431,2091,4023,6114,1178,571,1374,2991
Advice Enabled,Maharashtra,Wardha,519,6180,3279,9459,134,833,5779,2713
Advice Enabled,Maharashtra,Washim,491,22784,84534,107318,11811,18247,63069,14191
Advice Enabled,Maharashtra,Yavatmal,1203,2188,2926,5114,947,1020,2043,1104
Advice Enabled,Manipur,Bishnupur,22,123,157,280,73,145,56,6
Advice Enabled,Manipur,Chandel,2,51,54,105,33,34,24,14
Advice Enabled,Manipur,Churachandpur,3,41,19,60,3,8,32,17
Advice Enabled,Manipur,Imphal East,46,29,49,78,27,31,12,8
Advice Enabled,Manipur,Imphal West,31,62,187,249,71,143,24,11
Advice Enabled,Manipur,Jiribam,6,6,0,6,0,6,0,0
Advice Enabled,Manipur,Kakching,17,4,0,4,0,4,0,0
Advice Enabled,Manipur,Kamjong,4,0,0,0,0,0,0,0
Advice Enabled,Manipur,Kangpokpi,2,0,0,0,0,0,0,0
Advice Enabled,Manipur,Noney,1,0,0,0,0,0,0,0
Advice Enabled,Manipur,Pherzawl,1,0,0,0,0,0,0,0
Advice Enabled,Manipur,Senapati,1,1,8,9,8,1,0,0
Advice Enabled,Manipur,Tamenglong,2,25,72,97,5,41,0,51
Advice Enabled,Manipur,Tengnoupal,1,0,0,0,0,0,0,0
Advice Enabled,Manipur,Thoubal,24,82,86,168,24,90,22,32
Advice Enabled,Manipur,Ukhrul,2,161,263,424,0,67,1,356
Advice Enabled,Meghalaya,East Garo Hills,32,704,1041,1745,144,133,487,981
Advice Enabled,Meghalaya,East Jaintia Hills,94,969,786,1755,41,22,129,1563
Advice Enabled,Meghalaya,East Khasi Hills,185,2504,3548,6052,163,7,47,5835
Advice Enabled,Meghalaya,Eastern West Khasi Hills,43,246,332,578,7,5,22,544
Advice Enabled,Meghalaya,North Garo Hills,301,2018,2162,4180,121,11,52,3996
Advice Enabled,Meghalaya,Ri Bhoi,114,1917,2118,4035,176,14,31,3814
Advice Enabled,Meghalaya,South Garo Hills,67,1178,1298,2476,29,27,30,2390
Advice Enabled,Meghalaya,South West Garo Hills,138,746,1806,2552,1441,10,119,982
Advice Enabled,Meghalaya,South West Khasi Hills,64,503,279,782,0,0,3,779
Advice Enabled,Meghalaya,West Garo Hills,172,537,1637,2174,526,137,101,1410
Advice Enabled,Meghalaya,West Jaintia Hills,118,1424,490,1914,10,6,17,1881
Advice Enabled,Meghalaya,West Khasi Hills,135,1022,829,1851,29,24,108,1690
Advice Enabled,Mizoram,Aizawl,71,3860,4005,7865,474,2031,649,4711
Advice Enabled,Mizoram,Champhai,55,1172,1615,2787,235,680,354,1518
Advice Enabled,Mizoram,Hnahthial,31,812,721,1533,4,12,43,1474
Advice Enabled,Mizoram,Khawzawl,30,763,712,1475,23,66,55,1331
Advice Enabled,Mizoram,Kolasib,57,3352,2681,6033,121,350,243,5319
Advice Enabled,Mizoram,Lawngtlai,176,216,303,519,41,222,33,223
Advice Enabled,Mizoram,Lunglei,126,2173,2446,4619,24,202,102,4291
Advice Enabled,Mizoram,Mamit,100,1715,1717,3432,210,314,75,2833
Advice Enabled,Mizoram,Saiha,93,295,415,710,133,158,43,376
Advice Enabled,Mizoram,Saitual,40,608,323,931,69,114,32,716
Advice Enabled,Mizoram,Serchhip,55,501,515,1016,106,66,31,813
Advice Enabled,Nagaland,Dimapur,142,3159,3492,6651,285,245,458,5663
Advice Enabled,Nagaland,Kiphire,83,1849,1956,3805,277,2,76,3450
Advice Enabled,Nagaland,Kohima,61,893,441,1334,19,22,40,1253
Advice Enabled,Nagaland,Longleng,54,126,60,186,29,30,58,69
Advice Enabled,Nagaland,Mokokchung,115,250,417,667,17,3,16,631
Advice Enabled,Nagaland,Mon,166,3122,4481,7603,55,228,145,7175
Advice Enabled,Nagaland,Noklak,16,0,3,3,0,1,0,2
Advice Enabled,Nagaland,Peren,113,1061,1547,2608,12,9,47,2540
Advice Enabled,Nagaland,Phek,63,228,184,412,4,0,7,401
Advice Enabled,Nagaland,Tuensang,75,832,985,1817,17,7,17,1776
Advice Enabled,Nagaland,Wokha,155,256,393,649,1,0,2,646
Advice Enabled,Nagaland,Zunheboto,191,727,1008,1735,225,41,43,1426
Advice Enabled,Nagaland,Chumoukedima,1,0,0,0,0,0,0,0
Advice Enabled,Nagaland,Niuland,1,0,0,0,0,0,0,0
Advice Enabled,Nagaland,Shamator,1,0,0,0,0,0,0,0
Advice Enabled,Nagaland,Tseminyu,1,0,0,0,0,0,0,0
Advice Enabled,Odisha,Anugul,225,10656,5172,15828,5580,3670,5786,792
Advice Enabled,Odisha,Balangir,318,16077,25496,41573,3441,12109,15291,10732
Advice Enabled,Odisha,Baleshwar,360,4661,5343,10004,3269,3100,2599,1036
Advice Enabled,Odisha,Bargarh,253,2519,2273,4792,452,2312,1308,720
Advice Enabled,Odisha,Baudh,69,793,3748,4541,368,2657,991,525
Advice Enabled,Odisha,Bhadrak,218,6157,11923,18080,10720,3848,3192,320
Advice Enabled,Odisha,Cuttack,374,7236,17506,24742,9202,8210,5245,2085
Advice Enabled,Odisha,Debagarh,70,622,803,1425,265,480,232,448
Advice Enabled,Odisha,Dhenkanal,211,17117,14707,31824,6643,4734,14000,6447
Advice Enabled,Odisha,Gajapati,149,1958,4191,6149,1813,582,1324,2430
Advice Enabled,Odisha,Ganjam,503,1495,1535,3030,255,922,1260,593
Advice Enabled,Odisha,Jagatsinghapur,198,1756,3847,5603,3324,1047,1208,24
Advice Enabled,Odisha,Jajapur,311,3195,6251,9446,3832,3102,1679,833
Advice Enabled,Odisha,Jharsuguda,78,340,2669,3009,942,1224,411,432
Advice Enabled,Odisha,Kalahandi,310,12026,20274,32300,1036,9375,10669,11220
Advice Enabled,Odisha,Kandhamal,171,3442,8227,11669,746,1450,3694,5779
Advice Enabled,Odisha,Kendrapara,249,7057,5923,12980,930,5231,6607,212
Advice Enabled,Odisha,Kendujhar,297,4855,13277,18132,1862,2863,6060,7347
Advice Enabled,Odisha,Khordha,190,1580,2270,3850,1803,900,971,176
Advice Enabled,Odisha,Koraput,240,2377,6895,9272,2364,368,2847,3693
Advice Enabled,Odisha,Malkangiri,111,7414,26678,34092,954,191,21984,10963
Advice Enabled,Odisha,Mayurbhanj,402,5372,13419,18791,7350,2779,3157,5505
Advice Enabled,Odisha,Nabarangpur,189,1023,3040,4063,266,335,734,2728
Advice Enabled,Odisha,Nayagarh,194,1433,4568,6001,715,3715,1216,355
Advice Enabled,Odisha,Nuapada,131,2023,8185,10208,320,5826,1590,2472
Advice Enabled,Odisha,Puri,268,1425,2302,3727,1298,679,1438,312
Advice Enabled,Odisha,Rayagada,182,2092,5159,7251,138,114,2854,4145
Advice Enabled,Odisha,Sambalpur,138,1367,4061,5428,601,1469,859,2499
Advice Enabled,Odisha,Sonepur,109,3102,13163,16265,565,5358,8794,1548
Advice Enabled,Odisha,Sundargarh,279,1633,3008,4641,500,1522,1598,1021
Advice Enabled,Puducherry,Karaikal,12,218,270,488,165,191,125,7
Advice Enabled,Puducherry,Mahe,5,42,32,74,3,7,64,0
Advice Enabled,Puducherry,Puducherry,75,876,1503,2379,305,1183,849,42
Advice Enabled,Puducherry,Yanam,6,20,14,34,0,2,32,0
Advice Enabled,Punjab,Amritsar,859,4432,5350,9782,3843,2296,3144,499
Advice Enabled,Punjab,Bathinda,318,4132,2541,6673,2828,1128,2473,244
Advice Enabled,Punjab,Burnala,175,2333,1595,3928,1242,1037,1368,281
Advice Enabled,Punjab,Faridkot,243,5435,6025,11460,3915,1032,6111,402
Advice Enabled,Punjab,Fatehgarh Sahib,427,4104,2620,6724,1169,843,2895,1817
Advice Enabled,Punjab,Fazilka,454,7454,14845,22299,2998,1836,17205,260
Advice Enabled,Punjab,Firozepur,807,31539,92518,124057,24925,2538,94202,2392
Advice Enabled,Punjab,Gurdaspur,1268,3823,8922,12745,5617,2911,3870,347
Advice Enabled,Punjab,Hoshiarpur,1405,551,866,1417,474,252,662,29
Advice Enabled,Punjab,Jalandhar,890,5197,3776,8973,4004,1244,3348,377
Advice Enabled,Punjab,Kapurthala,545,5126,4720,9846,845,238,990,7773
Advice Enabled,Punjab,Ludhiana,939,1367,4309,5676,1377,554,3699,46
Advice Enabled,Punjab,Malerkotla,174,122,689,811,61,532,214,4
Advice Enabled,Punjab,Mansa,244,1995,2241,4236,1504,137,2477,118
Advice Enabled,Punjab,Moga,340,5427,9025,14452,4553,1328,8452,119
Advice Enabled,Punjab,Mohali (S.A.S Nagar),332,2762,2749,5511,1450,1183,2714,164
Advice Enabled,Punjab,Muktsar (Sri Muktasar Sahib),269,728,1647,2375,651,307,1209,208
Advice Enabled,Punjab,Pathankot,421,2575,4410,6985,1699,1970,3300,16
Advice Enabled,Punjab,Patiala,1020,2252,3029,5281,2045,890,2302,44
Advice Enabled,Punjab,Rupnagar,611,1604,2262,3866,1676,693,1427,70
Advice Enabled,Punjab,Sangrur,424,1874,3730,5604,2692,477,2165,270
Advice Enabled,Punjab,Shaheed Bhagat Singh Nagar,466,3436,2682,6118,665,1015,4052,386
Advice Enabled,Punjab,Tarn Taran,571,3070,7016,10086,4022,971,5045,48
Advice Enabled,Rajasthan,Ajmer,325,9555,12820,22375,7146,8803,4995,1431
Advice Enabled,Rajasthan,Alwar,584,8616,12792,21408,5886,6630,4672,4220
Advice Enabled,Rajasthan,Banswara,419,7399,10589,17988,8471,3855,3631,2031
Advice Enabled,Rajasthan,Baran,235,11324,31581,42905,7183,12102,13907,9713
Advice Enabled,Rajasthan,Barmer,689,16858,21974,38832,7805,7145,19597,4285
Advice Enabled,Rajasthan,Bharatpur,405,18493,23430,41923,10628,6451,21344,3500
Advice Enabled,Rajasthan,Bhilwara,398,2915,6475,9390,2326,3703,2129,1232
Advice Enabled,Rajasthan,Bikaner,367,10407,14596,25003,3943,7697,10077,3286
Advice Enabled,Rajasthan,Bundi,184,1009,8422,9431,868,5452,1857,1254
Advice Enabled,Rajasthan,Chittaurgarh,299,1751,2633,4384,619,921,2553,291
Advice Enabled,Rajasthan,Churu,304,1242,5382,6624,1951,2403,1988,282
Advice Enabled,Rajasthan,Dausa,287,2401,3422,5823,761,1942,2540,580
Advice Enabled,Rajasthan,Dholpur,191,2237,3683,5920,1387,1457,2211,865
Advice Enabled,Rajasthan,Dungarpur,353,15908,13262,29170,5250,7605,10762,5553
Advice Enabled,Rajasthan,Ganganagar,345,6755,8259,15014,3465,4807,4574,2168
Advice Enabled,Rajasthan,Hanumangarh,269,1495,11378,12873,2663,6859,3181,170
Advice Enabled,Rajasthan,Jaipur,601,7253,16241,23494,4814,10553,6158,1969
Advice Enabled,Rajasthan,Jaisalmer,216,10757,4248,15005,1750,1203,7861,4191
Advice Enabled,Rajasthan,Jalore,278,4066,12538,16604,1858,12144,2013,589
Advice Enabled,Rajasthan,Jhalawar,253,6318,28078,34396,5682,14154,8655,5905
Advice Enabled,Rajasthan,Jhunjhunu,336,2248,2653,4901,1582,2225,827,267
Advice Enabled,Rajasthan,Jodhpur,625,8128,14342,22470,4216,11458,4688,2108
Advice Enabled,Rajasthan,Karauli,242,15690,29752,45442,7353,14132,14606,9351
Advice Enabled,Rajasthan,Kota,158,4675,12030,16705,2485,2510,8943,2767
Advice Enabled,Rajasthan,Nagaur,500,32113,21376,53489,6828,12707,23734,10220
Advice Enabled,Rajasthan,Pali,340,17443,16398,33841,9617,11117,8888,4219
Advice Enabled,Rajasthan,Pratapgarh (Raj.),233,1002,1517,2519,989,1231,199,100
Advice Enabled,Rajasthan,Rajsamand,213,3728,5305,9033,3249,2102,2450,1232
Advice Enabled,Rajasthan,Sawai Madhopur,228,2822,3655,6477,1959,3476,587,455
Advice Enabled,Rajasthan,Sikar,374,2702,6405,9107,1664,1817,4510,1116
Advice Enabled,Rajasthan,Sirohi,170,1340,4688,6028,3368,1392,645,623
Advice Enabled,Rajasthan,Tonk,235,2114,4869,6983,1329,2113,3111,430
Advice Enabled,Rajasthan,Udaipur,650,12223,12452,24675,3742,5266,8562,7105
Advice Enabled,Rajasthan,Anoopgarh,10,822,489,1311,81,393,721,116
Advice Enabled,Rajasthan,Balotra,4,604,414,1018,83,310,561,64
Advice Enabled,Rajasthan,Beawar,1,133,112,245,20,70,134,21
Advice Enabled,Rajasthan,Deeg,1,68,73,141,1,20,114,6
Advice Enabled,Rajasthan,Didwana-Kuchaman,2,709,261,970,17,181,734,38
Advice Enabled,Rajasthan,Dudu,1,0,0,0,0,0,0,0
Advice Enabled,Rajasthan,Gangapur City,1,9,5,14,0,6,0,8
Advice Enabled,Rajasthan,Jaipur Rural,1,224,31,255,0,13,234,8
Advice Enabled,Rajasthan,Jodhpur (Rural),4,45,66,111,9,68,25,9
Advice Enabled,Rajasthan,Kekri,1,4,12,16,0,11,5,0
Advice Enabled,Rajasthan,Khairthal-Tijara,1,12,96,108,20,77,10,1
Advice Enabled,Rajasthan,Kotputli- Behror,2,34,85,119,6,62,45,6
Advice Enabled,Rajasthan,Neem Ka Thana,1,3,4,7,0,1,5,1
Advice Enabled,Rajasthan,Phalodi,1,3,13,16,0,13,3,0
Advice Enabled,Rajasthan,Sanchor,1,0,0,0,0,0,0,0
Advice Enabled,Rajasthan,Shahpura,1,22,28,50,6,10,10,24
Advice Enabled,Rajasthan,Slumber,1,11,1,12,5,0,3,4
Advice Enabled,Sikkim,East District (Gangtok),22,481,615,1096,246,119,660,71
Advice Enabled,Sikkim,North District (Mangan),25,68,108,176,16,35,100,25
Advice Enabled,Sikkim,Pakyong,27,15,36,51,4,38,3,6
Advice Enabled,Sikkim,Soreng,32,4,7,11,3,8,0,0
Advice Enabled,Sikkim,South District (Namchi),50,176,253,429,48,174,72,135
Advice Enabled,Sikkim,West District (Geyzing),29,408,644,1052,224,427,156,245
Advice Enabled,Tamil Nadu,Ariyalur,201,32816,42903,75719,14145,27121,24121,10332
Advice Enabled,Tamil Nadu,Chengalpattu,359,5492,2770,8262,1879,2331,3434,618
Advice Enabled,Tamil Nadu,Chennai,112,2301,2283,4584,1026,1671,1530,357
Advice Enabled,Tamil Nadu,Coimbatore,228,7430,3397,10827,3614,3156,3403,654
Advice Enabled,Tamil Nadu,Cuddalore,683,5874,2997,8871,3151,2476,2838,406
Advice Enabled,Tamil Nadu,Dharmapuri,251,3762,1389,5151,1845,1535,1491,280
Advice Enabled,Tamil Nadu,Dindigul,306,1122,1406,2528,1430,695,328,75
Advice Enabled,Tamil Nadu,Erode,225,2028,1429,3457,1385,1599,313,160
Advice Enabled,Tamil Nadu,Kallakurichi,412,443,402,845,406,272,149,18
Advice Enabled,Tamil Nadu,Kanchipuram,274,2119,1184,3303,1643,841,770,49
Advice Enabled,Tamil Nadu,Kanniyakumari,110,1531,1472,3003,1965,763,202,73
Advice Enabled,Tamil Nadu,Karur,157,2233,3633,5866,4060,1075,683,48
Advice Enabled,Tamil Nadu,Krishnagiri,333,1299,2321,3620,1075,1401,1062,82
Advice Enabled,Tamil Nadu,Madurai,420,1434,3282,4716,1992,2350,352,22
Advice Enabled,Tamil Nadu,Mayiladuthurai,241,244,170,414,134,194,78,8
Advice Enabled,Tamil Nadu,Nagapattinam,197,1298,1277,2575,1518,682,304,71
Advice Enabled,Tamil Nadu,Namakkal,321,836,863,1699,475,661,514,49
Advice Enabled,Tamil Nadu,Perambalur,121,447,255,702,266,250,166,20
Advice Enabled,Tamil Nadu,Pudukkottai,498,2335,1371,3706,1996,1168,508,34
Advice Enabled,Tamil Nadu,Ramanathapuram,429,4622,7800,12422,5198,5030,2115,79
Advice Enabled,Tamil Nadu,Ranipet,288,190,141,331,117,101,97,16
Advice Enabled,Tamil Nadu,Salem,393,3051,3148,6199,3667,1737,722,73
Advice Enabled,Tamil Nadu,Sivaganga,445,2981,2543,5524,1838,3002,646,38
Advice Enabled,Tamil Nadu,Tenkasi,221,1042,1026,2068,954,711,353,50
